Franchising,Restaurant,Location,Sales,Units,YOY Sales
No,&pizza,"Washington, D.C.",45,35,0.171
No,Evergreens,"Seattle, Wash.",24,26,1.305
No,Culinary Dropout,"Scottsdale, Ariz.",20,7,0.208
No,Super Duper Burgers,"San Francisco, Calif.",39,16,0.169
No,Original ChopShop,"Plano, Texas",21,12,0.325
No,Hawkers Asian Street Fare,"Orlando, Fla.",22,7,0.3
No,Blue Sushi Sake Grill,"Omaha, Neb.",49,14,0.195
No,Sugarfire Smokehouse,"Olivette, Mo.",39,15,0.254
No,Bluestone Lane,"New York, N.Y.",48,48,0.33
No,Boqueria,"New York, N.Y.",27,7,0.22
No,By Chloe,"New York, N.Y.",37,14,0.256
No,Dos Toros Taqueria,"New York, N.Y.",28,22,0.24
No,Just Salad,"New York, N.Y.",42,38,0.227
No,The Little Beet,"New York, N.Y.",23,12,0.265
No,Joella's Hot Chicken,"Louisville, Ky.",29,17,0.355
No,Spitz Mediterranean Street Food,"Los Angeles, Calif.",28,11,0.188
No,Bulla Gastrobar,"Doral, Fla.",32,8,0.282
No,Bibibop Asian Grill,"Columbus, Ohio",44,37,0.246
No,Condado Tacos,"Columbus, Ohio",38,15,0.199
No,Jeni's Splendid Ice Creams,"Columbus, Ohio",42,44,0.224
No,StoneFire Grill,"Agoura Hills, Calif.",31,13,0.16
Yes,Creamistry,"Yorba Linda,  Calif.",24,60,0.368
Yes,Clean Eatz,"Wilmington, N.C.",25,46,0.797
Yes,Bubbakoo's Burritos,"Wall Township, N.J.",28,31,0.243
Yes,Eggs Up Grill,"Spartanburg, S.C.",30,41,0.354
Yes,Vitality Bowls,"San Ramon, Calif.",37,77,0.301
Yes,Ike's Love & Sandwiches,"San Francisco, Calif.",44,71,0.308
Yes,Dog Haus,"Pasadena, Calif.",39,50,0.345
Yes,Maple Street Biscuit Co.,"Orange Park, Fla.",39,33,0.289
Yes,Melt Shop,"New York, N.Y.",20,19,0.396
Yes,Joe & The Juice,"New York, N.Y.",47,69,0.259
Yes,Gus's World Famous Fried Chicken,"Memphis, Tenn.",44,28,0.144
Yes,The Human Bean,"Medford, Ore.",47,97,0.19
Yes,Duck Donuts,"Mechanicsburg, Pa.",44,90,0.28
Yes,LA Crawfish,"McAllen, Texas",48,25,0.176
Yes,Rapid Fired Pizza,"Kettering, Ohio",24,35,0.322
Yes,Pokeworks,"Irvine, Calif.",49,50,0.771
Yes,Slapfish,"Huntington Beach, Calif.",21,21,0.81
Yes,The Lost Cajun,"Frisco, Texas",20,26,0.23
Yes,Quickway Japanese Hibachi,"Fairfax, Va.",22,25,0.214
Yes,Pita Mediterranean Street Food,"Fairburn, Ga.",38,32,0.178
Yes,Surcheros,"Douglas, Ga.",22,20,0.213
Yes,Teriyaki Madness,"Denver, Colo.",41,63,0.341
Yes,Tacos 4 Life,"Conway, Ark.",25,16,0.184
Yes,Famous Toastery,"Charlotte, N.C.",40,27,0.212
Yes,Clean Juice,"Charlotte, N.C.",44,105,1.219
Yes,The Simple Greek,"Blue Bell, Pa.",24,36,0.525
Yes,Playa Bowls,"Belmar,  N.J.",39,76,0.629
Yes,The Flying Biscuit Cafe,"Atlanta, Ga.",29,21,0.195
Yes,The Pizza Press,"Anaheim, Calif.",27,27,0.237
